,code,name,cur_price,volume,high_price,low_price
530063,530063,삼성 레버리지 구리 선물 ETN(H),10220,951,10220,10135
530064,530064,삼성 인버스 2X 구리 선물 ETN(H),-9320,1978,-9505,-9320
530052,530052,삼성 S&P500 VIX S/T 선물 ETN(H),-15635,5517,-15690,-15505
530002,530002,삼성 인버스 China A50 선물 ETN(H),-14300,396,-14440,-14275
530014,530014,삼성 China A50 선물 ETN(H),12450,0,0,0
530023,530023,삼성 레버리지 China A50 선물 ETN(H),29260,1876,29285,28240
550001,550001,QV Big Vol ETN,11175,0,0,0
550002,550002,QV WISE 배당 ETN,10245,0,0,0
550003,550003,QV 스마트리밸런싱 250/3 ETN,-10280,0,0,0
550004,550004,QV 롱숏 K150 매수 로우볼 매도 ETN,9900,0,0,0
550005,550005,QV 에너지 TOP5 ETN,12360,4,12360,12280
550006,550006,QV 내수소비 TOP5 ETN,7095,0,0,0
550007,550007,QV 조선 TOP5 ETN,10835,606,10835,10740
550008,550008,QV 소프트웨어 TOP5 ETN,-12325,0,0,0
550009,550009,QV 하드웨어 TOP5 ETN,17410,0,0,0
550010,550010,QV 운송 TOP5 ETN,-8745,0,0,0
550011,550011,QV 자동차 TOP5 ETN,-10595,0,0,0
550012,550012,QV 의료 TOP5 ETN,5850,159,5890,5850
550013,550013,QV 화학 TOP5 ETN,10900,925,10910,10795
550014,550014,QV 바이오 TOP5 ETN,14615,1010,14695,14615
550015,550015,QV 제약 TOP5 ETN,8525,314,8525,8445
550016,550016,QV 건설 TOP5 ETN,-10665,0,0,0
550019,550019,QV 전기차 테마 ETN,12475,12,12475,12420
550020,550020,QV 2차전지 테마 ETN,17470,2821,17470,17220
550021,550021,QV 핀테크 테마 ETN,8220,3,8220,8220
550022,550022,QV 사물인터넷 테마 ETN,7015,1,7015,7015
550023,550023,QV 고령화 테마 ETN,9430,21,9430,9415
550024,550024,QV 수자원 테마 ETN,10350,0,0,0
550025,550025,QV HMR 테마 ETN,7035,0,0,0
550026,550026,QV KTOP30 ETN,11255,0,0,0
550027,550027,QV 농업 테마 ETN,7460,0,0,0
