,code,name,cur_price,volume,high_price,low_price
143210,143210,핸즈코퍼레이션,-6870,13166,6900,-6770
143460,143460,KINDEX 밸류대형,-7250,48688,7310,-7205
143850,143850,TIGER 미국S&P500선물(H),-32195,10612,-32325,-32140
143860,143860,TIGER 헬스케어,-35940,16259,36100,-35700
144600,144600,KODEX 은선물(H),3535,11569,3545,-3530
144620,144620,코오롱머티리얼,-3245,411773,3275,-3150
145210,145210,세화아이엠씨,2990,0,0,0
145270,145270,케이탑리츠,-1050,1080109,1095,-1030
145670,145670,KINDEX 인버스,8085,6742,8100,8010
145720,145720,덴티움,78100,41546,79000,-75500
145850,145850,TREX 펀더멘탈 200,-29965,2,-29965,-29875
145990,145990,삼양사,62800,11130,63100,-62200
145995,145995,삼양사우,38050,681,39400,-37400
147970,147970,TIGER 모멘텀,-21220,11,-21220,-21205
148020,148020,KBSTAR 200,-28865,588327,-29125,-28755
148070,148070,KOSEF 국고채10년,121540,578,121625,121315
150460,150460,TIGER 중국소비테마,7795,74622,7795,-7655
152100,152100,ARIRANG 200,-29100,80268,-29350,-28985
152280,152280,KOSEF 200 선물,-12570,153,-12660,-12520
152330,152330,코리아오토글라스,-13600,34997,13850,-13400
152380,152380,KODEX 국채선물10년,68675,422,68720,68655
152500,152500,KINDEX 레버리지,-5205,17048,5340,-5175
152870,152870,파워 200,-29365,50,-29600,-29255
153130,153130,KODEX 단기채권,100260,50191,100260,100255
153270,153270,KOSEF 코스피100,-22120,91,-22280,-22035
153360,153360,하이골드3호,-1865,52903,1875,-1855
155660,155660,DSR,-5230,357914,-5330,-5150
155900,155900,바다로19호,2905,4776,2905,-2890
156080,156080,KODEX MSCI Korea,-13320,1,-13320,-13320
157450,157450,TIGER 단기통안채,100255,141,100255,100250
157490,157490,TIGER 소프트웨어,-7390,2409,7435,-7375
157500,157500,TIGER 증권,-3825,8466,3885,-3820
159650,159650,하이골드8호,1405,223144,1450,1340
159800,159800,마이티 코스피100,-21955,0,0,0
160580,160580,TIGER 구리실물,6655,2136,6715,-6610
161000,161000,애경유화,-9980,283905,10050,-9770
161390,161390,한국타이어,-41150,257627,41950,-41000
161510,161510,ARIRANG 고배당주,-13010,46840,-13050,-12940
161890,161890,한국콜마,76700,486326,77200,-72300
163560,163560,동일고무벨트,-6790,11247,6840,-6700
166400,166400,TIGER 200커버드콜5%OTM,-12605,60,-12605,-12585
167860,167860,KOSEF 국고채10년레버리지,131480,165,131600,131370
168300,168300,KTOP 코스피50,-19660,102,-19845,-19570
168580,168580,KINDEX 중국본토CSI300,-19250,4987,19635,-19240
169950,169950,KODEX 중국본토 A50,-14745,4621,-14985,-14675
170350,170350,TIGER 베타플러스,13010,5,13010,13010
170900,170900,동아에스티,-102000,8836,103500,-101000
172580,172580,하이골드12호,2900,8336,2900,-2885
174350,174350,TIGER 로우볼,-12665,1387,-12720,-12600
174360,174360,KBSTAR 중국본토대형주CSI100,-13970,5813,14500,-13940
175330,175330,JB금융지주,6150,245255,6220,-6110
176710,176710,파워 중기국고채,101100,0,0,0
176950,176950,KODEX 국채선물10년인버스,-46755,12,-46755,-46740
180640,180640,한진칼,26900,303410,27000,-26400
18064K,18064K,한진칼우,-17500,43280,-18000,-17300
181480,181480,KINDEX 미국다우존스리츠(합성 H),74950,8,75030,-74410
181710,181710,NHN엔터테인먼트,72200,152261,73700,-70400
182480,182480,TIGER 미국MSCI리츠(합성 H),13180,4899,13185,13145
182490,182490,TIGER 단기선진하이일드(합성 H),11450,2008,11450,11435
183190,183190,아세아시멘트,137500,13477,139500,134500
183700,183700,KBSTAR 채권혼합,-55600,107,55715,-55565
183710,183710,KBSTAR 주식혼합,-33470,168,-33630,-33415
185680,185680,KODEX 미국S&P바이오(합성),21250,754,21250,21145
